species,decimalLongitude.new1,decimalLatitude.new1,States,Biome,Endemism,Inside_State,Inside_Biome,Inside_BR,catalogNumber,data_source,species_id,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,Flagging,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1,Filters_ok,Country_Capital,Province_centroid,IdenticalLongLat,GBIFheadquarter,Biod_inst,Outside_coord,zero_coord,Duplicated,shore,open_sea,wrong_country,Checar_Local,Ano,Filtrador
Araucaria angustifolia,-50.877787,-29.392612,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110704755,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.392612,-50.877787,-29.392612,-50.877787,Brazil,brazil,rio grande do sul,no.info,rua da ferradura  gramado  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Abreu, M.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-48.639063,-23.046254,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,144765,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-23.046254,-48.639063,-23.046254,-48.639063,Brazil,brazil,sao paulo,itatinga,ita_28,2017-05-222018-11-082016-06-072017-05-222016-03-22,Araucariaceae,ok_county,ok_county,Checar_local,"",check_local.2municip.,"Carioba, T.M.","Souza, V.C.",locality,county,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.877822,-29.392483,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110790950,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.392483,-50.877822,-29.392483,-50.877822,Brazil,brazil,rio grande do sul,no.info,rua da ferradura  gramado  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Abreu, M.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-52,-25,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,MB.Pb.2014/1116,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25,-52,-25,-52,Brazil,brazil,"",no.info,"",2017-05-222018-11-082016-06-072017-05-222016-03-22,Araucariaceae,ok_country,ok_country,Checar_local,"",ok_same_resolution,s.n.,s.n.,country,country,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.287778,-26.658333,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,21641,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-26.658333,-49.287778,-26.658333,-49.287778,Brasil,brazil,parana,no.info,fazenda experimental gralha azul,2011,Araucariaceae,ok_country,ok_country,Checar_local,"",check_local.2state,"Kersten, R.A.","Kersten, R.A.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.4103012084961,-25.5930995941162,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,20321,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-25.5930995941162,-49.4103012084961,-25.5930995941162,-49.4103012084961,Brasil,brazil,parana,no.info,"",2009,Araucariaceae,ok_state,ok_state,Checar_local,"",check_municip.2state,"Selusniaki, M.","Selusniaki, M.",municipality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.1150016784668,-25.2061004638672,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,12502,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-25.2061004638672,-49.1150016784668,-25.2061004638672,-49.1150016784668,Brasil,brazil,parana,no.info,"",2000,Araucariaceae,ok_state,ok_state,Checar_local,"",check_municip.2state,"Carone, L.","Carone, L.",municipality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.877842,-29.39427,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110812059,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.39427,-50.877842,-29.39427,-50.877842,Brazil,brazil,rio grande do sul,no.info,parque do lago negro  gramado  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Monsores, D.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.2731018066406,-25.4277992248535,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,15639,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-25.4277992248535,-49.2731018066406,-25.4277992248535,-49.2731018066406,Brasil,brazil,parana,no.info,agua verde,2004,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Marques, L.","Selusniaki, M.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.832153,-29.350295,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110815356,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.350295,-50.832153,-29.350295,-50.832153,Brazil,brazil,rio grande do sul,no.info,rua jose pedro piva  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Monsores, D.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
