catalogNumber,data_source,species_id,species,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,decimalLatitude.new1,decimalLongitude.new1,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1
152434253,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-21.953646,-43.916011,-21.953646,-43.916011,-21.953646,-43.916011,Brazil,brazil,minas gerais,no.info,olaria   mg  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Oliveira, C.P.","Oliveira, C.P.",locality,state
153811355,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.497638,-50.743558,-29.497638,-50.743558,-29.497638,-50.743558,Brazil,brazil,rio grande do sul,no.info,estrada linha aguas brancas  tres coroas  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Mattos, H.","Cortez, C.",locality,state
155435454,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.142002,-54.755543,-25.142002,-54.755543,-25.142002,-54.755543,Paraguay,paraguay,alto parana,no.info,paraguay,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Berger, A.","Berger, A.",locality,state
159010789,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,3.575067,-76.6178,3.575067,-76.6178,3.575067,-76.6178,Colombia,colombia,valle del cauca,no.info,araucana lodge  km 29 via cali  buenaventura  dagua  valle del cauca  colombia,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Ajwhitlock,Ajwhitlock,locality,state
178087289,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.559178,-54.576098,-25.559178,-54.576098,-25.559178,-54.576098,Brazil,brazil,parana,no.info,foz do iguacu  pr  brasil  camping internacional,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Stiuv, R.","Stiuv, R.",locality,state
180319107,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.441119,-49.238531,-25.441119,-49.238531,-25.441119,-49.238531,Brazil,brazil,parana,no.info,jardim botanico  curitiba   state of parana  82590 300  brazil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Diehl, B.","Diehl, B.",locality,state
153708034,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-32.127163,-53.820814,-32.127163,-53.820814,-32.127163,-53.820814,Uruguay,uruguay,cerro largo,no.info,centurion  cerro largo  uy,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Aleduarte,Aleduarte,locality,state
153810879,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.512755,-50.77715,-29.512755,-50.77715,-29.512755,-50.77715,Brazil,brazil,rio grande do sul,no.info,rua da industria  tres coroas  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Mattos, H.","Cortez, C.",locality,state
154567202,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-22.88582,-45.97211,-22.88582,-45.97211,-22.88582,-45.97211,Brazil,brazil,sao paulo,no.info,sao jose dos campos  sp  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Vlz,Vlz,locality,state
154969732,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.608472,-54.485205,-25.608472,-54.485205,-25.608472,-54.485205,Brazil,brazil,parana,no.info,foz do iguacu  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Juancarloswu,Juancarloswu,locality,state
155152768,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-26.510683,-53.893745,-26.510683,-53.893745,-26.510683,-53.893745,Argentina,argentina,misiones,no.info,san pedro  misiones  ar,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Forestalbelga,"Massi, C.",locality,state
155152947,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-35.230788,-60.263958,-35.230788,-60.263958,-35.230788,-60.263958,Argentina,argentina,buenos aires,no.info,alberti  buenos aires  ar,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Forestalbelga,Forestalbelga,locality,state
155218112,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-20.44788,-41.874054,-20.44788,-41.874054,-20.44788,-41.874054,Brazil,brazil,minas gerais,no.info,alto caparao  mg  36834 000  brazil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Kaizer, M.","Kaizer, M.",locality,state
156690987,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.351883,-51.052167,-29.351883,-51.052167,-29.351883,-51.052167,Brazil,brazil,rio grande do sul,no.info,nova petropolis  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Chiyo, L.","Chiyo, L.",locality,state
156772386,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.548503,-49.0802,-25.548503,-49.0802,-25.548503,-49.0802,Brazil,brazil,parana,no.info,rua b  sao jose dos pinhais  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Tenochyakecan,Tenochyakecan,locality,state
156878799,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.43637,-49.218697,-25.43637,-49.218697,-25.43637,-49.218697,Brazil,brazil,parana,no.info,rua professor nivaldo braga  curitiba  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Krebsp,Vinicius_s_domingues,locality,state
157841621,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.312815,-49.299609,-25.312815,-49.299609,-25.312815,-49.299609,Brazil,brazil,parana,no.info,alm  tamandare   pr  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Lucelia-Devai,Lucelia-Devai,locality,state
158267754,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.361867,-49.259512,-25.361867,-49.259512,-25.361867,-49.259512,Brazil,brazil,parana,no.info,parque da barreirinha  curitiba  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Neves, H.O.","Neves, H.O.",locality,state
158476800,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-32.347331,-53.985288,-32.347331,-53.985288,-32.347331,-53.985288,Uruguay,uruguay,cerro largo,no.info,departamento de cerro largo  uruguay,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Rosa, L.V.","Rosa, L.V.",locality,state
158517956,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.400655,-49.391255,-25.400655,-49.391255,-25.400655,-49.391255,Brazil,brazil,parana,no.info,campo magro  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Katiapessanha,Katiapessanha,locality,state
159394570,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.792325,-50.435226,-29.792325,-50.435226,-29.792325,-50.435226,Brazil,brazil,rio grande do sul,no.info,caraa,2023,Araucariaceae,ok_county,ok_county,,check_local.2municip.,Eduardo-Miguel,Eduardo-Miguel,locality,county
159890815,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-26.542198,-53.94187,-26.542198,-53.94187,-26.542198,-53.94187,Argentina,argentina,misiones,no.info,cruce caballero  misiones,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Fontoto,"Massi, C.",locality,state
160064088,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,4.623875,-74.063069,4.623875,-74.063069,4.623875,-74.063069,Colombia,colombia,cundinamarca,no.info,parque nacional enrique olaya herrera,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Alejandra_ochoa,"Rodriguez-C., A.",locality,state
163307813,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.498258,-50.786575,-29.498258,-50.786575,-29.498258,-50.786575,Brazil,brazil,rio grande do sul,no.info,rua pedro lauffer  tres coroas  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Mattos, H.","Mattos, H.",locality,state
163307847,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.494775,-50.78303,-29.494775,-50.78303,-29.494775,-50.78303,Brazil,brazil,rio grande do sul,no.info,rua dos caigangues  tres coroas  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Mattos, H.","Mattos, H.",locality,state
158770404,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-27.056591,-48.925682,-27.056591,-48.925682,-27.056591,-48.925682,Brazil,brazil,santa catarina,no.info,brusque  br sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Tuanihabitz,Tuanihabitz,locality,state
158919698,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-27.397825,-49.823608,-27.397825,-49.823608,-27.397825,-49.823608,Brazil,brazil,santa catarina,no.info,agrolandia  sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Vittoor,Vittoor,locality,state
161421321,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-23.550788,-47.144566,-23.550788,-47.144566,-23.550788,-47.144566,Brazil,brazil,sao paulo,no.info,spa 060/270 rod  pref  quintino de lima  1485   paisagem colonial  sao roque   sp  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Lubiana, T.","Lubiana, T.",locality,state
